🌷丨 咪咕自抓取源,#genre#

新神榜：杨戬, https://mgsp-tx.vod.miguvideo.com/depository_yqv/asset/zhengshi/5105/004/366/5105004366/media/5105004366_5037932829_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800033&netType=0&sid=5700271686&pid=2028600738&timestamp=20250206160830&Channel_ID=0131_201600010010028&ProgramID=748556493&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5700271686&client_ip=123.13.117.90&SecurityKey=20250206160830&promotionId=&mvid=5105004366&mcid=1000&mpid=130000165990&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=c5051a9b4fc9fb2ef95cb0ad01f4cdea&sv=10000&ct=h5

功夫熊猫4, https://mgsp-tx.vod.miguvideo.com/depository_nas01/asset/zhengshi/5105/455/262/5105455262/media/5105455262_5261583938_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800301&netType=0&sid=5700809664&pid=2028600506&timestamp=20250206161123&Channel_ID=0131_201600010010028&ProgramID=919127444&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5700809664&client_ip=123.13.117.90&SecurityKey=20250206161123&promotionId=&mvid=5105455262&mcid=1000&mpid=130000181367&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=31b4ed731b120800bd06246ccd078758&sv=10000&ct=h5

阿凡达：水之道（普通话）, https://mgsp-tx.vod.miguvideo.com/depository_yqv/asset/zhengshi/5105/080/728/5105080728/media/5105080728_5091264010_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800303&netType=0&sid=5700359837&pid=2028600738&timestamp=20250206161257&Channel_ID=0131_201600010010028&ProgramID=785067423&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5700359837&client_ip=123.13.117.90&SecurityKey=20250206161257&promotionId=&mvid=5105080728&mcid=1000&mpid=130000025458&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=62217f317393a5692cf8e613ad06ed25&sv=10000&ct=h5

红海行动, https://mgsp-tx.vod.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/5101/003/837/5101003837/media/5101003837_5167431053_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800033&netType=0&sid=5501135352&pid=2028600738&timestamp=20250206161406&Channel_ID=0131_201600010010028&ProgramID=676990123&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5501135352&client_ip=123.13.117.90&SecurityKey=20250206161406&promotionId=&mvid=5101003837&mcid=1000&mpid=130000025392&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=40bd86c02e010f7d613241475973b26e&sv=10000&ct=h5

少林寺, https://mgsp-tx.vod.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/5102/073/005/5102073005/media/5102073005_5122172733_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=600571&netType=0&sid=5700396761&pid=2028597139&timestamp=20250206161722&Channel_ID=0131_201600010010028&ProgramID=811655121&ParentNodeID=-99&assertID=5700396761&client_ip=123.13.117.90&SecurityKey=20250206161722&promotionId=&mvid=5102073005&mcid=1000&mpid=130000064520&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=6386a91e9d2f8601948dfb7b96e2f3e2&sv=10000&ct=h5

战狼, https://mgsp-tx.vod.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/3007/492/358/3007492358/media/3007492358_5103249996_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=600571&netType=0&sid=5700384456&pid=2028600738&timestamp=20250206161919&Channel_ID=0131_201600010010028&ProgramID=801628779&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5700384456&client_ip=123.13.117.90&SecurityKey=20250206161919&promotionId=&mvid=3007492358&mcid=1000&mpid=130000005903&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=2dc52ac61248211e8957c7421b51fd0c&sv=10000&ct=h5

倚天屠龙记之圣火雄风, https://mgsp-tx.vod.miguvideo.com/depository_yqv/asset/zhengshi/5103/558/010/5103558010/media/5103558010_5011738008_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800033&netType=0&sid=5700168874&pid=2028600738&timestamp=20250206162030&Channel_ID=0131_201600010010028&ProgramID=722288684&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5700168874&client_ip=123.13.117.90&SecurityKey=20250206162030&promotionId=&mvid=5103558010&mcid=1000&mpid=130000162115&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=b17dc951246f8195efffd1518c814d39&sv=10000&ct=h5

倚天屠龙记之九阳神功, https://mgsp-tx.vod.miguvideo.com/depository_yqv/asset/zhengshi/5103/558/018/5103558018/media/5103558018_5011742514_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800033&netType=0&sid=5700168872&pid=2028600738&timestamp=20250206162343&Channel_ID=0131_201600010010028&ProgramID=722289484&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5700168872&client_ip=123.13.117.90&SecurityKey=20250206162343&promotionId=&mvid=5103558018&mcid=1000&mpid=130000162114&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=897de5206f18f1ed3fe8562d31d1e1ab&sv=10000&ct=h5

龙拳小子, https://mgsp-tx.vod.miguvideo.com/depository_yqv/asset/zhengshi/5100/042/213/5100042213/media/5100042213_5046548011_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=699014&netType=0&sid=5701038543&pid=2028597139&timestamp=20250206162620&Channel_ID=0131_201600010010028&ProgramID=944680118&ParentNodeID=-99&assertID=5701038543&client_ip=123.13.117.90&SecurityKey=20250206162620&promotionId=&mvid=5100042213&mcid=1000&mpid=130000013459&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=0&encrypt=f24521eef334f9d8d756aec5dc9d63c3&sv=10000&ct=h5

黄飞鸿之三：狮王争霸, https://mgsp-tx.vod.miguvideo.com/depository_cidcobs_wxlz03/asset/zhengshi/5103/527/834/5103527834/media/5103527834_5122439454_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=600571&netType=0&sid=5700396738&pid=2028600738&timestamp=20250206162926&Channel_ID=0131_201600010010028&ProgramID=811648270&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5700396738&client_ip=123.13.117.90&SecurityKey=20250206162926&promotionId=&mvid=5103527834&mcid=1000&mpid=130000160311&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=bc06c24acdd0c4533da3f124ebf318ca&sv=10000&ct=h5

功夫熊猫3（普通话）, https://mgsp-tx.vod.miguvideo.com/depository_yqv/asset/zhengshi/5105/027/034/5105027034/media/5105027034_5039002095_56.mp4.m3u8?msisdn=461c3066-b96f-4869-9bf4-77bcdb7606e0&mdspid=&spid=800301&netType=0&sid=5700291324&pid=2028600738&timestamp=20250206163042&Channel_ID=0131_201600010010028&ProgramID=752222369&ParentNodeID=-99&preview=1&playseek=000000-000600&assertID=5700291324&client_ip=123.13.117.90&SecurityKey=20250206163042&promotionId=&mvid=5105027034&mcid=1000&mpid=130000000019&playurlVersion=WX-A1-8.1.2-RELEASE&userid=&jmhm=&videocodec=h264&bean=mgsph5&tid=h5&conFee=1&encrypt=c1ba2291e722e7619332af90a4cce323&sv=10000&ct=h5
